City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Maiduguri,NG,11.8464,13.1603,76.05,31,30,4.21,scattered clouds
300,San Cristobal,VE,7.7669,-72.225,71.78,88,99,2.01,overcast clouds
301,Suntar,RU,62.1444,117.6319,14.85,86,91,7.11,overcast clouds
302,Mangochi,MW,-14.4782,35.2645,77.32,44,4,2.84,clear sky
303,Orumiyeh,IR,37.5527,45.0761,31.55,93,0,4.61,clear sky
304,Edd,ER,13.9297,41.6925,81.99,52,7,9.55,clear sky
305,Vestmannaeyjar,IS,63.4427,-20.2734,37.67,81,70,18.39,broken clouds
306,Lokosovo,RU,61.1333,74.8167,32.52,98,100,14.83,snow
307,Salinopolis,BR,-0.6136,-47.3561,79.79,83,89,8.7,overcast clouds
308,Khonsa,IN,27.0167,95.5667,69.26,54,42,2.93,scattered clouds
309,Muroto,JP,33.2833,134.15,71.64,64,27,17.43,scattered clouds
310,Okha,RU,53.5739,142.9478,26.42,76,100,27.45,light snow
311,Dumai,ID,1.6833,101.45,86.68,62,98,5.28,overcast clouds
312,Amazar,RU,53.858,120.875,20.52,49,79,2.39,broken clouds
313,Inuvik,CA,68.3499,-133.7218,14.86,92,90,6.91,light snow
314,Lompoc,US,34.6391,-120.4579,58.32,86,40,9.22,scattered clouds
315,Prieska,ZA,-29.6641,22.7474,59.77,28,9,2.51,clear sky
316,San Nicolas,PH,18.1725,120.5953,89.51,58,20,4.61,few clouds
317,Faya,SA,18.3851,42.4509,53.71,67,0,2.59,clear sky
318,Arlit,NE,18.7369,7.3853,78.22,13,0,10.51,clear sky
319,Krasnopavlivka,UA,49.1372,36.3272,39.02,83,6,7.16,clear sky
320,Guaymas,MX,27.9333,-110.9,68.45,45,58,1.19,broken clouds
321,Calama,CL,-22.4667,-68.9333,46.89,15,0,10.36,clear sky
322,Makinsk,KZ,52.6292,70.4169,25.59,51,95,15.82,overcast clouds
323,Dauphin,CA,51.1494,-100.0502,39.34,70,1,10.36,clear sky
324,Xai-Xai,MZ,-25.0519,33.6442,72.03,92,100,2.13,overcast clouds
325,Caldwell,US,43.6629,-116.6874,50.61,69,90,4.61,overcast clouds
326,Ahipara,NZ,-35.1667,173.1667,66.92,70,38,3.29,scattered clouds
327,San Francisco De Becerra,HN,14.6333,-86.1,78.6,78,92,4.61,overcast clouds
328,Vieste,IT,41.8825,16.175,57.33,86,48,10.51,scattered clouds
329,Acapulco,MX,16.8634,-99.8901,82.22,83,40,2.3,scattered clouds
330,Chemal,RU,51.4111,86.005,22.42,80,11,4.7,few clouds
331,Sisimiut,GL,66.9395,-53.6735,19.76,73,22,11.1,few clouds
332,Araguaina,BR,-7.1911,-48.2072,73.44,93,99,4.45,overcast clouds
333,Torbay,CA,47.6666,-52.7314,43.27,77,90,14.97,overcast clouds
334,Alekseyevka,RU,50.6309,38.6903,40.35,83,25,10.31,scattered clouds
335,Touros,BR,-5.1989,-35.4608,81.5,83,5,10.49,clear sky
336,Mazagao,BR,-0.115,-51.2894,80.65,90,94,3.6,overcast clouds
337,Quatre Cocos,MU,-20.2078,57.7625,79.09,78,36,13.76,scattered clouds
338,Balkhash,KZ,46.844,74.9804,20.01,45,0,11.18,clear sky
339,Korla,CN,41.7597,86.1469,26.94,37,5,7.29,clear sky
340,Port Keats,AU,-14.25,129.55,88.36,61,54,7.67,light rain
341,Karachi,PK,24.9056,67.0822,66.02,59,1,0.0,smoke
342,Homer,US,59.6425,-151.5483,33.69,83,90,4.61,overcast clouds
343,Grand Gaube,MU,-20.0064,57.6608,79.38,71,5,7.0,clear sky
344,Gabrovo,BG,42.8747,25.3342,55.13,92,100,1.61,overcast clouds
345,Isangel,VU,-19.55,169.2667,80.71,74,75,11.5,broken clouds
346,Aljezur,PT,37.3191,-8.8033,45.63,55,0,8.72,clear sky
